type,label,value,from,to
answer,Agriculture,A,root,A
answer,Cultivation,A01,A,
answer,modification of cultivation practices,A02,A,A02
answer,agricultural intensification,A02.01,A02,
answer,crop change,A02.02,A02,
answer,grassland removal for arable land,A02.03,A02,
answer,mowing / cutting of grassland,A03,A,A03
answer,intensive mowing or intensification,A03.01,A03,
answer,non intensive mowing,A03.02,A03,
answer,abandonment / lack of  mowing ,A03.03,A03,
answer,grazing,A04,A,A04
answer,intensive grazing,A04.01,A04,A04.01
answer,intensive cattle grazing,A04.01.01,A04.01,
answer,intensive sheep grazing,A04.01.02,A04.01,
answer,intensive horse grazing,A04.01.03,A04.01,
answer,intensive goat grazing,A04.01.04,A04.01,
answer,intensive mixed animal grazing,A04.01.05,A04.01,
answer,non intensive grazing,A04.02,A04,A04.02
answer,non intensive cattle grazing,A04.02.01,A04.02,
answer,non intensive sheep grazing,A04.02.02,A04.02,
answer,non intensive horse grazing,A04.02.03,A04.02,
answer,non intensive goat grazing,A04.02.04,A04.02,
answer,non intensive mixed animal grazing,A04.02.05,A04.02,
answer,"abandonment of pastoral systems, lack of grazing",A04.03,A04,
answer,livestock farming and animal breeding (without grazing),A05,A,A05
answer,"Animal breeding, ",A05.01,A05,
answer,stock feeding,A05.02,A05,
answer,Lack of animal breeding,A05.03,A05,
answer,annual and perennial non-timber crops,A06,A,A06
answer,annual crops for food production,A06.01,A06,A06.01
answer,intensive annual crops for food production/ intensification,A06.01.01,A06.01,
answer,non- intensive annual crops for food production,A06.01.02,A06.01,
answer,perennial non-timber crops,A06.02,A06,A06.02
answer,intensive perennial non-timber crops/intensification,A06.02.01,A06.02,
answer,non-intensive perennial non-timber crops,A06.02.02,A06.02,
answer,biofuel-production,A06.03,A06,
answer,abandonment of crop production,A06.04,A06,
answer,"use of biocides, hormones and chemicals",A07,A,
answer,Fertilisation,A08,A,
answer,Irrigation,A09,A,
answer,Restructuring agricultural land holding,A10,A,A10
answer,removal of hedges and copses or scrub,A10.01,A10,
answer,removal of stone walls and embankments,A10.02,A10,
answer,Agriculture activities not referred to above,A11,A,
answer,"Sylviculture, forestry",B,root,B
answer,forest planting on open ground,B01,B,B01
answer,forest planting on open ground (native trees),B01.01,B01,
answer,artificial planting on open ground (non-native trees),B01.02,B01,
answer,Forest and Plantation management  & use,B02,B,B02
answer,forest replanting,B02.01,B02,B02.01
answer,forest replanting (native trees),B02.01.01,B02.01,
answer,forest replanting (non native trees),B02.01.02,B02.01,
answer,forestry clearance,B02.02,B02,
answer,removal of forest undergrowth,B02.03,B02,
answer,removal of dead and dying trees,B02.04,B02,
answer,non- intensive timber production (leaving dead wood/ old trees untouched),B02.05,B02,
answer,thinning of tree layer,B02.06,B02,
answer,forest exploitation without replanting or natural regrowth,B03,B,
answer,"use of biocides, hormones and chemicals (forestry)",B04,B,
answer,use of fertilizers (forestry),B05,B,
answer,grazing in forests/ woodland,B06,B,
answer,Forestry activities not referred to above,B07,B,
answer,"Mining, extraction of materials and energy production",C,root,C
answer,Mining and quarrying,C01,C,C01
answer,Sand and gravel extraction ,C01.01,C01,C01.01
answer,sand and gravel quarries,C01.01.01,C01.01,
answer,removal of beach materials,C01.01.02,C01.01,
answer,Loam and clay pits,C01.02,C01,
answer,Peat extraction,C01.03,C01,C01.03
answer,hand cutting of peat,C01.03.01,C01.03,
answer,mechanical removal of peat,C01.03.02,C01.03,
answer,Mines,C01.04,C01,C01.04
answer,open cast mining,C01.04.01,C01.04,
answer,underground mining,C01.04.02,C01.04,
answer,Salt works,C01.05,C01,C01.05
answer,abandonment of saltpans (salinas),C01.05.01,C01.05,
answer,conversion of saltpans,C01.05.02,C01.05,
answer,Geotechnical survey,C01.06,C01,
answer,Mining and extraction activities not referred to above,C01.07,C01,
answer,Exploration and extraction of oil or gas,C02,C,C02
answer,exploration drilling,C02.01,C02,
answer,production drilling,C02.02,C02,
answer,jack-up drilling rig,C02.03,C02,
answer,semi-submersible rig,C02.04,C02,
answer,drill ship,C02.05,C02,
answer,Renewable abiotic energy use,C03,C,C03
answer,geothermal power production,C03.01,C03,
answer,solar energy production,C03.02,C03,
answer,wind energy production,C03.03,C03,
answer,tidal energy production,C03.04,C03,
answer,Transportation and service corridors,D,root,D
answer,"Roads, paths and railroads",D01,D,D01
answer,"paths, tracks, cycling tracks",D01.01,D01,
answer,"roads, motorways",D01.02,D01,
answer,car parcs and parking areas,D01.03,D01,
answer,"railway lines, TGV",D01.04,D01,
answer,"bridge, viaduct",D01.05,D01,
answer,tunnel,D01.06,D01,
answer,Utility and service lines,D02,D,D02
answer,electricity and phone lines,D02.01,D02,D02.01
answer,suspended electricity and phone lines,D02.01.01,D02.01,
answer,underground/submerged electricity and phone lines,D02.01.02,D02.01,
answer,pipe lines,D02.02,D02,
answer,communication masts and antennas,D02.03,D02,
answer,other forms of energy transport,D02.09,D02,
answer,"shipping lanes, ports, marine constructions",D03,D,D03
answer,port areas,D03.01,D03,D03.01
answer,slipways,D03.01.01,D03.01,
answer,piers / tourist harbours or recreational piers,D03.01.02,D03.01,
answer,fishing harbours,D03.01.03,D03.01,
answer,industrial ports,D03.01.04,D03.01,
answer,Shipping lanes,D03.02,D03,D03.02
answer,cargo lanes,D03.02.01,D03.02,
answer,passenger ferry lanes (high speed),D03.02.02,D03.02,
answer,marine constructions,D03.03,D03,
answer,"airports, flightpaths",D04,D,D04
answer,airport,D04.01,D04,
answer,"aerodrome, heliport",D04.02,D04,
answer,flight paths,D04.03,D04,
answer,Improved access to site,D05,D,
answer,Other forms of transportation and communication,D06,D,
answer,"Urbanisation, residential and commercial development",E,root,E
answer,"Urbanised areas, human habitation",E01,E,E01
answer,continuous urbanisation,E01.01,E01,
answer,discontinuous urbanisation,E01.02,E01,
answer,dispersed habitation,E01.03,E01,
answer,other patterns of habitation,E01.04,E01,
answer,Industrial or commercial areas,E02,E,E02
answer,factory,E02.01,E02,
answer,industrial stockage,E02.02,E02,
answer,other industrial / commercial area,E02.03,E02,
answer,Discharges,E03,E,E03
answer,disposal of household / recreational facility waste,E03.01,E03,
