"type","label","id",,,,,"Comments"
"type","label","value","from","to","element","options",
,,,,,,,
"question","Neigung","q01_n",,,,,"radio button"
"answer","flach","a01_1","q01_n","q03_f",,,
"answer","Tiedestromkante","a01_2","q01_n","q03_f",,,
"answer","Prielkante","a01_3","q01_n","q03_f",,,
"answer","Brandungszone","a01_4","q01_n","q03_f",,,
,,,,,,,
"question","Farbe des Sediments","q03_f",,,,,
"answer","[color code]","q03a","q03_f","q040_wb","textbox",,"based on analog color table (free text)"
,,,,,,,
"question","Anteil Wasserbedeckung","q040_wb",,,,,"slider"
"answer","centimeters","a040_1","q040_wb","q043_r","slider","0,80,20",
,,,,,,,
"question","Tiefe der Wasserbedeckung","q041_twb",,,,,"slider"
"answer","centimeters","a041_2","q041_twb","q042_awb","slider","0,10,3",
,,,,,,,
"question","Art der Wasserbedeckung","q042_awb",,,,,"radio button"
"answer","Pfütze/unregelmäßige Fläche","a042_2","q042_awb","q043_r",,,
"answer","(Erosions-)Mulde","a042_3","q042_awb","q043_r",,,
"answer","Senke","a042_4","q042_awb","q043_r",,,
"answer","Rippeltäler","a042_5","q042_awb","q0431_rh",,,
,,,,,,,
"question","Rippel","q043_r",,,,,
"answer","ja","a043_j","q043_r","q0431_rh",,,
"answer","nein","a043_n","q043_r","q044_mr",,,
,,,,,,,
"question","Rippelhöhe, in cm","q0431_rh",,,,,"slider"
"answer","centimeters","a0431_1","q0431_rh","q0432_rl","slider","0,10,3",
,,,,,,,
"question","Rippellänge, in cm","q0432_rl",,,,,"slider"
"answer","centimeters","a0432_1","q0432_rl","q0433_rb","slider","0,10,3",
,,,,,,,
"question","Rippelbreite, in m","q0433_rb",,,,,"slider"
"answer","meters","a0433_1","q0433_rb","q0434_erh","slider","0,10,5",
,,,,,,,
"question","effektive Rippelhöhe, in cm","q0434_erh",,,,,"< Rippelhöhe (q0431_rh), = Rippelhöhe if Wasserbedeckung (q040_wb) = keine"
"answer","centimeters","a0434_1","q0434_erh","q0435_ra","slider","0,10,3","slider"
,,,,,,,
"question","konstante Rippelausrichtung","q0435_ra",,,,,"radio button"
"answer","ja","a0435_1","q0435_ra","q04352_ra",,,
"answer","nein","a0435_2","q0435_ra","q04351_ra",,,
,,,,,,,
"question","Rippelausrichtung","q04351_ra",,,,,"arrow pointer (e.g. in combination with compass)"
"answer","Kreuzrippel","a04351_1","q04351_ra","q0436_rs",,,
"answer","chaotisch","a04351_2","q04351_ra","q0436_rs",,,
,,,,,,,
"question","Rippelausrichtung","q04352_ra",,,,,"radio button"
"answer","Kreuzrippel","a04352_1","q04352_ra","q0436_rs",,,
"answer","chaotisch","a04352_2","q04352_ra","q0436_rs",,,
,,,,,,,
"question","Rippelsymmetrie","q0436_rs",,,,,"radio button"
"answer","symmetrisch","a0436_1","q0436_rs","q044_mr",,,
"answer","asymmetrisch","a0436_2","q0436_rs","q044_mr",,,
,,,,,,,
"question","Megarippel","q044_mr",,,,,"radio button"
"answer","ja","a044_j","q044_mr","q045_e",,,
"answer","nein","a044_n","q044_mr","q045_e",,,
,,,,,,,
"question","Erosion","q045_e",,,,,"radio button"
"answer","ja","a045_j","q045_e","q046_d",,,
"answer","nein","a045_n","q045_e","q046_d",,,
,,,,,,,
"question","Diatomeen","q046_d",,,,,"radio button"
"answer","ja","a046_j","q046_d","q047_am",,,
"answer","nein","a046_n","q046_d","q047_am",,,
,,,,,,,
"question","Algenmatten","q047_am",,,,,"radio button"
"answer","ja","a047_j","q047_am","q048_sgw",,,
"answer","nein","a047_n","q047_am","q048_sgw",,,
,,,,,,,
"question","Seegraswiese","q048_sgw",,,,,"radio button"
"answer","ja","a048_j","q048_sgw","q049_mb",,,
"answer","nein","a048_n","q048_sgw","q049_mb",,,
,,,,,,,
"question","Muschelbank","q049_mb",,,,,"radio button"
"answer","ja","a049_j","q049_mb","q1114_mb",,,
"answer","nein","a049_n","q049_mb","q0410_sb",,,
,,,,,,,
"question","Muschelbank","q1114_mb",,,,,"radio button"
"answer","Mytilus","q1114_1","q1114_mb","q11142",,,
"answer","Crassostrea","q1114_2","q1114_mb","q11142",,,
"answer","Crassostrea – Mytilus Mix","q1114_3","q1114_mb","q11141_mbm",,,
,,,,,,,
"question","Crassostrea – Mytilus Mix","q11141_mbm",,,,,"radio button"
"answer","Crassostrea < Mytilus","a11141_1","q11141_mbm","q11142",,,
"answer","Crassostrea > Mytilus","a11141_2","q11141_mbm","q11142",,,
"answer","Crassostrea = Mytilus","a11141_3","q11141_mbm","q11142",,,
,,,,,,,
"question","Struktur","q11142",,,,,"radio button"
"answer","Klumpungen","a11142_1","q11142","q1115_mbs",,,
"answer","kleine Einzelbeete","a11142_2","q11142","q1115_mbs",,,
"answer","kleine dichte Beete","a11142_3","q11142","q1115_mbs",,,
"answer","Muschelbank >30%","a11142_4","q11142","q1115_mbs",,,
"answer","Muschelbank <70%","a11142_5","q11142","q1115_mbs",,,
"answer","Muschelbank >70%","a11142_6","q11142","q1115_mbs",,,
,,,,,,,
"question","Status","q1115_mbs",,,,,"radio button"
"answer","Brutbank","a1115_1","q1115_mbs","q0410_sb",,,
"answer","1-3 jährig","a1115_2","q1115_mbs","q0410_sb",,,
"answer","reif","a1115_3","q1115_mbs","q0410_sb",,,
,,,,,,,
"question","Schillbedeckung, in Prozent","q0410_sb",,,,,"slider"
"answer","%","a0410_1","q0410_sb","q0411_et","slider","0,100,50",
,,,,,,,
"question","Einsinktiefe, in cm","q0411_et",,,,,"slider"
"answer","cm","a0411_1","q0411_et","q051_sb","slider","0,5,2",
,,,,,,,
"question","Sediment Basis","q051_sb",,,,,"radio button"
"answer","Klei","a051_1","q051_sb","q061_sa",,,
